ENSEMBL,ENTREZID,SYMBOL
ENSG00000099995,10291,SF3A1
ENSG00000104897,8175,SF3A2
ENSG00000183431,10946,SF3A3
ENSG00000115524,23451,SF3B1
ENSG00000087365,10992,SF3B2
ENSG00000189091,23450,SF3B3
ENSG00000143368,10262,SF3B4
ENSG00000169976,83443,SF3B5
ENSG00000115128,51639,SF3B6
ENSG00000136450,6426,SRSF1
ENSG00000161547,6427,SRSF2
ENSG00000112081,6428,SRSF3
ENSG00000116350,6429,SRSF4
ENSG00000100650,6430,SRSF5
ENSG00000124193,6431,SRSF6
ENSG00000115875,6432,SRSF7
ENSG00000263465,10929,SRSF8
ENSG00000111786,8683,SRSF9
ENSG00000188529,10772,SRSF10
ENSG00000116754,9295,SRSF11
ENSG00000154548,135295,SRSF12
