gene_symbol	entrez_ID
OR4F5	79501
AL627309.1	NA
SAMD11	148398
NOC2L	26155
KLHL17	339451
PLEKHN1	84069
C1orf170	84808
HES4	57801
ISG15	9636
AGRN	375790
RNF223	401934
C1orf159	54991
TTLL10	254173
TNFRSF18	8784
TNFRSF4	7293
SDF4	51150
B3GALT6	126792
FAM132A	388581
UBE2J2	118424
SCNN1D	6339
ACAP3	116983
PUSL1	126789
CPSF3L	54973
GLTPD1	80772
TAS1R3	83756
DVL1	1855
MXRA8	54587
AURKAIP1	54998
CCNL2	81669
RP4-758J18.2	148413
MRPL20	55052
ANKRD65	441869
TMEM88B	643965
VWA1	64856
ATAD3C	219293
ATAD3B	83858
ATAD3A	55210
TMEM240	339453
SSU72	29101
C1orf233	643988
MIB2	142678
MMP23B	8510
CDK11B	984
SLC35E2B	728661
CDK11A	728642
SLC35E2	9906
NADK	65220
GNB1	2782
CALML6	163688
TMEM52	339456
C1orf222	85452
GABRD	2563
PRKCZ	5590
C1orf86	199990
SKI	6497
MORN1	79906
RER1	11079
PEX10	5192
PLCH2	9651
PANK4	55229
HES5	388585
TNFRSF14	8764
FAM213B	127281
MMEL1	79258
TTC34	100287898
ACTRT2	140625
PRDM16	63976
ARHGEF16	27237
MEGF6	1953
TPRG1L	127262
WRAP73	49856
TP73	7161
CCDC27	148870
SMIM1	388588
LRRC47	57470
CEP104	9731
DFFB	1677
C1orf174	339448
AJAP1	55966
NPHP4	261734
KCNAB2	8514
CHD5	26038
RPL22	6146
RNF207	388591
ICMT	23463
HES3	390992
GPR153	387509
ACOT7	11332
HES2	54626
ESPN	83715
TNFRSF25	8718
PLEKHG5	57449
NOL9	79707
TAS1R1	80835
ZBTB48	3104
KLHL21	9903
PHF13	148479
THAP3	90326
DNAJC11	55735
CAMTA1	23261
VAMP3	9341
PER3	8863
UTS2	10911
TNFRSF9	3604
PARK7	11315
ERRFI1	54206
SLC45A1	50651
RERE	473
ENO1	2023
CA6	765
SLC2A7	155184
SLC2A5	6518
GPR157	80045
H6PD	9563
SPSB1	80176
SLC25A33	84275
TMEM201	199953
PIK3CD	5293
C1orf200	644997
CLSTN1	22883
CTNNBIP1	56998
LZIC	84328
NMNAT1	64802
RBP7	116362
UBE4B	10277
KIF1B	23095
PGD	5226
APITD1	378708
APITD1-CORT	100526739
CORT	1325
DFFA	1676
PEX14	5195
CASZ1	54897
C1orf127	148345
TARDBP	23435
MASP2	10747
SRM	6723
EXOSC10	5394
MTOR	2475
ANGPTL7	10218
UBIAD1	29914
PTCHD2	57540
FBXO2	26232
FBXO44	93611
FBXO6	26270
MAD2L2	10459
DRAXIN	374946
AGTRAP	57085
C1orf167	284498
MTHFR	4524
CLCN6	1185
NPPA	4878
NPPB	4879
KIAA2013	90231
PLOD1	5351
MFN2	9927
MIIP	60672
TNFRSF8	943
TNFRSF1B	7133
VPS13D	55187
DHRS3	9249
AADACL4	343066
AADACL3	126767
C1orf158	93190
PRAMEF12	390999
PRAMEF1	65121
HNRNPCL1	343069
PRAMEF2	65122
PRAMEF4	400735
PRAMEF10	343071
PRAMEF7	441871
PRAMEF6	440561
WI2-3308P17.2	440560
PRAMEF26	441873
PRAMEF8	391002
PRAMEF9	653619
PRAMEF14	729528
PRAMEF19	645414
PRAMEF17	391004
PRAMEF20	645425
LRRC38	126755
PDPN	10630
PRDM2	7799
KAZN	23254
TMEM51	55092
FHAD1	114827
EFHD2	79180
CTRC	11330
CELA2A	63036
CELA2B	51032
CASP9	842
DNAJC16	23341
AGMAT	79814
DDI2	84301
RSC1A1	6248
PLEKHM2	23207
SLC25A34	284723
TMEM82	388595
FBLIM1	54751
SPEN	23013
ZBTB17	7709
C1orf64	149563
HSPB7	27129
CLCNKA	1187
CLCNKB	1188
FAM131C	348487
EPHA2	1969
ARHGEF19	128272
RSG1	79363
FBXO42	54455
SZRD1	26099
SPATA21	374955
NECAP2	55707
NBPF1	55672
CROCC	9696
MFAP2	4237
ATP13A2	23400
SDHB	6390
PADI2	11240
PADI1	29943
PADI3	51702
PADI4	23569
RCC2	55920
ARHGEF10L	55160
ACTL8	81569
IGSF21	84966
KLHDC7A	127707
PAX7	5081
TAS1R2	80834
ALDH4A1	8659
IFFO2	126917
UBR4	23352
EMC1	23065
MRTO4	51154
AKR7L	246181
AKR7A3	22977
AKR7A2	8574
PQLC2	54896
CAPZB	832
MINOS1	440574
NBL1	4681
HTR6	3362
TMCO4	255104
RNF186	54546
OTUD3	23252
PLA2G2E	30814
PLA2G2A	5320
PLA2G5	5322
PLA2G2D	26279
PLA2G2F	64600
PLA2G2C	391013
UBXN10	127733
VWA5B1	127731
CAMK2N1	55450
MUL1	79594
FAM43B	163933
CDA	978
PINK1	65018
DDOST	1650
KIF17	57576
SH2D5	400745
HP1BP3	50809
EIF4G3	8672
ECE1	1889
NBPF3	84224
ALPL	249
RAP1GAP	5909
USP48	84196
LDLRAD2	401944
HSPG2	3339
CELA3B	23436
CELA3A	10136
CDC42	998
WNT4	54361
ZBTB40	9923
EPHA8	2046
C1QA	712
C1QC	714
C1QB	713
EPHB2	2048
LACTBL1	646262
C1orf234	729059
KDM1A	23028
LUZP1	7798
HTR1D	3352
HNRNPR	10236
ZNF436	80818
C1orf213	148898
TCEA3	6920
ASAP3	55616
E2F2	1870
ID3	3399
MDS2	259283
RPL11	6135
TCEB3	6924
PITHD1	57095
LYPLA2	11313
GALE	2582
HMGCL	3155
FUCA1	2517
CNR2	1269
PNRC2	55629
SRSF10	10772
MYOM3	127294
IL22RA1	58985
IFNLR1	163702
GRHL3	57822
STPG1	90529
NIPAL3	57185
RCAN3	11123
NCMAP	400746
SRRM1	10250
CLIC4	25932
RUNX3	864
SYF2	25949
C1orf63	57035
RHD	6007
TMEM50A	23585
RHCE	6006
TMEM57	55219
LDLRAP1	26119
MAN1C1	57134
SEPN1	57190
MTFR1L	56181
AUNIP	79000
PAQR7	164091
STMN1	3925
PAFAH2	5051
EXTL1	2134
SLC30A2	7780
TRIM63	84676
PDIK1L	149420
FAM110D	79927
ZNF593	51042
CNKSR1	10256
CATSPER4	378807
CEP85	64793
SH3BGRL3	83442
UBXN11	91544
CD52	1043
AIM1L	55057
ZNF683	257101
LIN28A	79727
DHDDS	79947
HMGN2	3151
RPS6KA1	6195
ARID1A	8289
PIGV	55650
ZDHHC18	84243
SFN	2810
GPN2	54707
GPATCH3	63906
NUDC	10726
NR0B2	8431
C1orf172	126695
TRNP1	388610
FAM46B	115572
SLC9A1	6548
WDTC1	23038
TMEM222	84065
SYTL1	84958
MAP3K6	9064
FCN3	8547
CD164L2	388611
GPR3	2827
WASF2	10163
AHDC1	27245
FGR	2268
IFI6	2537
FAM76A	199870
STX12	23673
PPP1R8	5511
THEMIS2	9473
RPA2	6118
SMPDL3B	27293
XKR8	55113
EYA3	2140
PTAFR	5724
DNAJC8	22826
ATPIF1	93974
SESN2	83667
MED18	54797
PHACTR4	65979
RCC1	1104
TRNAU1AP	54952
TAF12	6883
RAB42	115273
GMEB1	10691
YTHDF2	51441
OPRD1	4985
EPB41	2035
TMEM200B	399474
SRSF4	6429
MECR	51102
PTPRU	10076
MATN1	4146
LAPTM5	7805
SDC3	9672
PUM1	9698
NKAIN1	79570
SNRNP40	9410
ZCCHC17	51538
FABP3	2170
SERINC2	347735
TINAGL1	64129
HCRTR1	3061
PEF1	553115
COL16A1	1307
BAI2	576
SPOCD1	90853
PTP4A2	8073
KHDRBS1	10657
TMEM39B	55116
KPNA6	23633
TXLNA	200081
CCDC28B	79140
IQCC	55721
DCDC2B	149069
TMEM234	56063
EIF3I	8668
FAM167B	84734
LCK	3932
HDAC1	3065
MARCKSL1	65108
TSSK3	81629
FAM229A	100128071
BSDC1	55108
ZBTB8B	728116
ZBTB8A	653121
ZBTB8OS	339487
RBBP4	5928
SYNC	81493
KIAA1522	57648
YARS	8565
S100PBP	64766
FNDC5	252995
HPCA	3208
TMEM54	113452
RNF19B	127544
AK2	204
ADC	113451
TRIM62	55223
ZNF362	149076
A3GALT2	127550
PHC2	1912
ZSCAN20	7579
CSMD2	114784
HMGB4	127540
C1orf94	84970
SMIM12	113444
GJB5	2709
GJB4	127534
GJB3	2707
GJA4	2701
DLGAP3	58512
ZMYM6NB	100506144
ZMYM6	9204
ZMYM1	79830
SFPQ	6421
ZMYM4	9202
KIAA0319L	79932
NCDN	23154
TFAP2E	339488
PSMB2	5690
C1orf216	127703
CLSPN	63967
AGO4	192670
AGO1	26523
AGO3	192669
TEKT2	27285
ADPRHL2	54936
COL8A2	1296
TRAPPC3	27095
MAP7D1	55700
THRAP3	9967
SH3D21	79729
EVA1B	55194
STK40	83931
LSM10	84967
OSCP1	127700
MRPS15	64960
CSF3R	1441
GRIK3	2899
ZC3H12A	80149
MEAF6	64769
SNIP1	79753
DNALI1	7802
GNL2	29889
RSPO1	284654
C1orf109	54955
CDCA8	55143
EPHA10	284656
MANEAL	149175
YRDC	79693
C1orf122	127687
MTF1	4520
INPP5B	3633
SF3A3	10946
FHL3	2275
UTP11L	51118
POU3F1	5453
RRAGC	64121
MYCBP	26292
GJA9	81025
RHBDL2	54933
AKIRIN1	79647
NDUFS5	4725
MACF1	23499
BMP8A	353500
PABPC4	8761
HEYL	26508
NT5C1A	84618
HPCAL4	51440
PPIE	10450
BMP8B	656
OXCT2	64064
TRIT1	54802
MYCL	4610
MFSD2A	84879
CAP1	10487
PPT1	5538
RLF	6018
TMCO2	127391
ZMPSTE24	10269
COL9A2	1298
SMAP2	64744
ZFP69B	65243
ZFP69	339559
EXO5	64789
ZNF684	127396
RIMS3	9783
NFYC	4802
KCNQ4	9132
CITED4	163732
CTPS1	1503
SLFNL1	200172
SCMH1	22955
FOXO6	100132074
EDN2	1907
HIVEP3	59269
GUCA2B	2981
GUCA2A	2980
FOXJ3	22887
RIMKLA	284716
ZMYND12	84217
PPCS	79717
CCDC30	728621
PPIH	10465
YBX1	4904
CLDN19	149461
LEPRE1	64175
C1orf50	79078
CCDC23	374969
ERMAP	114625
ZNF691	51058
SLC2A1	6513
FAM183A	440585
EBNA1BP2	10969
WDR65	149465
TMEM125	128218
C1orf210	149466
TIE1	7075
MPL	4352
CDC20	991
ELOVL1	64834
MED8	112950
SZT2	23334
HYI	81888
PTPRF	5792
KDM4A	9682
ST3GAL3	6487
ARTN	9048
IPO13	9670
DPH2	1802
ATP6V0B	533
B4GALT2	8704
CCDC24	149473
SLC6A9	6536
KLF17	128209
DMAP1	55929
ERI3	79033
RNF220	55182
TMEM53	79639
C1orf228	339541
KIF2C	11004
RPS8	6202
BEST4	266675
PLK3	1263
TCTEX1D4	343521
BTBD19	149478
PTCH2	8643
EIF2B3	8891
HECTD3	79654
UROD	7389
ZSWIM5	57643
HPDL	84842
MUTYH	4595
TOE1	114034
TESK2	10420
MMACHC	25974
PRDX1	5052
AKR1A1	10327
NASP	4678
CCDC17	149483
GPBP1L1	60313
TMEM69	51249
IPP	3652
MAST2	23139
PIK3R3	8503
TSPAN1	10103
POMGNT1	55624
LURAP1	541468
RAD54L	8438
LRRC41	10489
UQCRH	7388
NSUN4	387338
FAAH	2166
DMBX1	127343
KNCN	148930
MKNK1	8569
MOB3C	148932
ATPAF1	64756
EFCAB14	9813
TEX38	374973
CYP4B1	1580
CYP4A11	1579
CYP4X1	260293
CYP4Z1	199974
CYP4A22	284541
PDZK1IP1	10158
TAL1	6886
STIL	6491
CMPK1	51727
FOXE3	2301
FOXD2	2306
TRABD2B	388630
SLC5A9	200010
SPATA6	54558
AGBL4	84871
BEND5	79656
ELAVL4	1996
DMRTA2	63950
FAF1	11124
CDKN2C	1031
C1orf185	284546
RNF11	26994
TTC39A	22996
EPS15	2060
OSBPL9	114883
NRD1	4898
RAB3B	5865
TXNDC12	51060
KTI12	112970
BTF3L4	91408
ZFYVE9	9372
CC2D1B	200014
ORC1	4998
PRPF38A	84950
ZCCHC11	23318
GPX7	2882
FAM159A	348378
SELRC1	65260
ZYG11B	79699
ZYG11A	440590
ECHDC2	55268
SCP2	6342
PODN	127435
SLC1A7	6512
CPT2	1376
C1orf123	54987
MAGOH	4116
LRP8	7804
DMRTB1	63948
GLIS1	148979
NDC1	55706
YIPF1	54432
DIO1	1733
HSPB11	51668
LRRC42	115353
LDLRAD1	388633
TMEM59	9528
TCEANC2	127428
CDCP2	200008
CYB5RL	606495
MRPL37	51253
SSBP3	23648
SSBP3-AS1	619518
ACOT11	26027
FAM151A	338094
MROH7	374977
TTC4	7268
PARS2	25973
TTC22	55001
C1orf177	163747
DHCR24	1718
TMEM61	199964
BSND	7809
PCSK9	255738
USP24	23358
PPAP2B	8613
PRKAA2	5563
C1orf168	199920
C8A	731
C8B	732
DAB1	1600
OMA1	115209
TACSTD2	4070
MYSM1	114803
JUN	3725
FGGY	55277
HOOK1	51361
CYP2J2	1573
C1orf87	127795
NFIA	4774
TM2D1	83941
INADL	10207
L1TD1	54596
KANK4	163782
USP1	7398
DOCK7	85440
ANGPTL3	27329
ATG4C	84938
FOXD3	27022
ALG6	29929
ITGB3BP	23421
EFCAB7	84455
PGM1	5236
ROR1	4919
UBE2U	148581
CACHD1	57685
RAVER2	55225
JAK1	3716
AK4	205
DNAJC6	9829
LEPR	3953
LEPROT	54741
PDE4B	5142
SGIP1	84251
TCTEX1D1	200132
INSL5	10022
WDR78	79819
MIER1	57708
SLC35D1	23169
C1orf141	400757
IL23R	149233
IL12RB2	3595
SERBP1	26135
GADD45A	1647
GNG12	55970
DIRAS3	9077
WLS	79971
RPE65	6121
DEPDC1	55635
LRRC7	57554
LRRC40	55631
SRSF11	9295
ANKRD13C	81573
HHLA3	11147
CTH	1491
PTGER3	5733
ZRANB2	9406
NEGR1	257194
LRRIQ3	127255
FPGT	8790
FPGT-TNNI3K	100526835
TNNI3K	51086
LRRC53	105378803
C1orf173	127254
CRYZ	1429
TYW3	127253
LHX8	431707
SLC44A5	204962
ACADM	34
RABGGTB	5876
MSH4	4438
ASB17	127247
ST6GALNAC3	256435
ST6GALNAC5	81849
PIGK	10026
AK5	26289
ZZZ3	26009
USP33	23032
FAM73A	374986
NEXN	91624
FUBP1	8880
DNAJB4	11080
GIPC2	54810
PTGFR	5737
IFI44L	10964
IFI44	10561
ELTD1	64123
LPHN2	23266
TTLL7	79739
PRKACB	5567
SAMD13	148418
DNASE2B	58511
RPF1	80135
GNG5	2787
CTBS	1486
C1orf180	439927
SSX2IP	117178
LPAR3	23566
MCOLN2	255231
WDR63	126820
MCOLN3	55283
SYDE2	84144
C1orf52	148423
BCL10	8915
DDAH1	23576
CYR61	3491
ZNHIT6	54680
COL24A1	255631
ODF2L	57489
CLCA2	9635
CLCA1	1179
CLCA4	22802
SH3GLB1	51100
SEP15	9403
HS2ST1	9653
LMO4	8543
PKN2	5586
GTF2B	2959
CCBL2	56267
RBMXL1	494115
GBP3	2635
GBP1	2633
GBP2	2634
GBP7	388646
GBP4	115361
GBP5	115362
GBP6	163351
LRRC8B	23507
LRRC8C	84230
LRRC8D	55144
ZNF326	284695
BARHL2	343472
ZNF644	84146
HFM1	164045
CDC7	8317
TGFBR3	7049
BRDT	676
EPHX4	253152
BTBD8	23285
C1orf146	388649
GLMN	11146
RPAP2	79871
GFI1	2672
EVI5	7813
RPL5	6125
FAM69A	388650
MTF2	22823
TMED5	50999
CCDC18	343099
DR1	1810
FNBP1L	54874
BCAR3	8412
DNTTIP2	30836
GCLM	2730
ABCA4	24
ARHGAP29	9411
ABCD3	5825
F3	2152
SLC44A3	126969
CNN3	1266
ALG14	199857
TMEM56	148534
RP11-57H12.6	100527978
RWDD3	25950
RP11-147C23.1	102723661
PTBP2	58155
DPYD	1806
SNX7	51375
LPPR5	163404
LPPR4	9890
PALMD	54873
FRRS1	391059
AGL	178
SLC35A3	23443
HIAT1	64645
SASS6	163786
TRMT13	54482
LRRC39	127495
DBT	1629
RTCA	8634
CDC14A	8556
GPR88	54112
VCAM1	7412
EXTL2	2135
SLC30A7	148867
DPH5	51611
S1PR1	1901
OLFM3	118427
COL11A1	1301
RNPC3	55599
AMY2B	280
AMY2A	279
AMY1A	276
AMY1B	277
AMY1C	278
PRMT6	55170
NTNG1	22854
VAV3	10451
SLC25A24	29957
NBPF4	148545
NBPF6	653149
FAM102B	284611
HENMT1	113802
PRPF38B	55119
FNDC7	163479
STXBP3	6814
AKNAD1	254268
GPSM2	29899
CLCC1	23155
WDR47	22911
TAF13	6884
TMEM167B	56900
C1orf194	127003
KIAA1324	57535
SARS	6301
CELSR2	1952
PSRC1	84722
MYBPHL	343263
SORT1	6272
PSMA5	5686
SYPL2	284612
ATXN7L2	127002
CYB561D1	284613
AMIGO1	57463
GPR61	83873
GNAI3	2773
GNAT2	2780
AMPD2	271
GSTM4	2948
GSTM2	2946
GSTM1	2944
GSTM5	2949
GSTM3	2947
EPS8L3	79574
CSF1	1435
AHCYL1	10768
STRIP1	85369
ALX3	257
UBL4B	164153
SLC6A17	388662
KCNC4	3749
RBM15	64783
SLC16A4	9122
LAMTOR5	10542
PROK1	84432
KCNA10	3744
KCNA2	3737
KCNA3	3738
CD53	963
LRIF1	55791
DRAM2	128338
CEPT1	10390
DENND2D	79961
CHI3L2	1117
CHIA	27159
PIFO	128344
OVGP1	5016
WDR77	79084
ATP5F1	515
C1orf162	128346
ADORA3	57413
RAP1A	5906
FAM212B	55924
DDX20	11218
KCND3	3752
CTTNBP2NL	55917
WNT2B	7482
ST7L	54879
CAPZA1	829
MOV10	4343
RHOC	389
PPM1J	333926
FAM19A3	284467
SLC16A1	6566
LRIG2	9860
MAGI3	260425
PHTF1	10745
RSBN1	54665
PTPN22	26191
BCL2L15	440603
AP4B1	10717
DCLRE1B	64858
HIPK1	204851
OLFML3	56944
SYT6	148281
TRIM33	51592
BCAS2	10286
DENND2C	163259
AMPD1	270
NRAS	4893
CSDE1	7812
SIKE1	80143
SYCP1	6847
TSHB	7252
TSPAN2	10100
NGF	4803
VANGL1	81839
CASQ2	845
NHLH2	4808
SLC22A15	55356
MAB21L3	126868
ATP1A1	476
CD58	965
IGSF3	3321
C1orf137	388667
CD2	914
PTGFRN	5738
CD101	9398
TTF2	8458
TRIM45	80263
VTCN1	79679
MAN1A2	10905
FAM46C	54855
GDAP2	54834
WDR3	10885
SPAG17	200162
TBX15	6913
WARS2	10352
HAO2	51179
HSD3B2	3284
HSD3B1	3283
ZNF697	90874
PHGDH	26227
HMGCS2	3158
REG4	83998
ADAM30	11085
NOTCH2	4853
FAM72B	653820
FCGR1B	2210
PPIAL4G	644591
FAM72D	728833
NBPF8	100288142
PDE4DIP	9659
HFE2	148738
POLR3GL	84265
PEX11B	8799
ITGA10	8515
ANKRD35	148741
PIAS3	10401
NUDT17	200035
POLR3C	10623
CD160	11126
PDZK1	5174
GPR89A	653519
PRKAB2	5565
FMO5	2330
CHD1L	9557
BCL9	607
ACP6	51205
GJA8	2703
GPR89B	51463
PPIAL4D	645142
HIST2H3PS2	440686
FCGR1A	2209
HIST2H2BF	440689
HIST2H3D	653604
HIST2H3C	126961
HIST2H2AA4	8337
HIST2H3A	333932
HIST2H2BE	8349
HIST2H2AC	8338
HIST2H2AB	317772
BOLA1	51027
SV2A	9900
SF3B4	10262
MTMR11	10903
VPS45	11311
PLEKHO1	51177
ANP32E	81611
CA14	23632
APH1A	51107
C1orf54	79630
C1orf51	148523
PRPF3	9129
RPRD2	23248
TARS2	80222
ECM1	1893
ADAMTSL4	54507
ADAMTSL4-AS1	574406
MCL1	4170
ENSA	2029
GOLPH3L	55204
HORMAD1	84072
CTSS	1520
CTSK	1513
ARNT	405
SETDB1	9869
CERS2	29956
ANXA9	8416
FAM63A	55793
PRUNE	58497
BNIPL	149428
C1orf56	54964
CDC42SE1	56882
MLLT11	10962
GABPB2	126626
SEMA6C	10500
TNFAIP8L2	79626
SCNM1	79005
LYSMD1	388695
TMOD4	29765
VPS72	6944
PIP5K1A	8394
PSMD4	5710
RP11-126K1.2	100507670
ZNF687	57592
PI4KB	5298
RFX5	5993
SELENBP1	8991
PSMB4	5692
POGZ	23126
CGN	57530
TUFT1	7286
SNX27	81609
CELF3	11189
RIIAD1	284485
MRPL9	65005
OAZ3	51686
TDRKH	11022
LINGO4	339398
RORC	6097
C2CD4D	100191040
THEM5	284486
THEM4	117145
S100A10	6281
S100A11	6282
TCHHL1	126637
TCHH	7062
RPTN	126638
HRNR	388697
FLG	2312
FLG2	388698
CRNN	49860
LCE5A	254910
CRCT1	54544
LCE3E	353145
LCE3D	84648
LCE3C	353144
LCE3B	353143
LCE3A	353142
LCE2D	353141
LCE2B	26239
LCE2C	353140
LCE2A	353139
LCE4A	199834
C1orf68	100129271
KPRP	448834
LCE1F	353137
LCE1E	353135
LCE1D	353134
LCE1C	353133
LCE1B	353132
LCE1A	353131
LCE6A	448835
SMCP	4184
IVL	3713
SPRR4	163778
SPRR1A	6698
SPRR3	6707
SPRR1B	6699
SPRR2D	6703
SPRR2A	6700
SPRR2B	6701
SPRR2E	6704
SPRR2F	6705
SPRR2G	6706
LELP1	149018
PRR9	574414
LOR	4014
PGLYRP3	114771
PGLYRP4	57115
S100A9	6280
S100A12	6283
S100A8	6279
S100A7A	338324
S100A7L2	645922
S100A7	6278
S100A6	6277
S100A5	6276
S100A4	6275
S100A3	6274
S100A2	6273
S100A16	140576
S100A14	57402
S100A13	6284
S100A1	6271
CHTOP	26097
SNAPIN	23557
ILF2	3608
NPR1	4881
